Customer_ID,Plan_Type,Age,Gender,State,Region
1,Individual and Family,42,Male,New Jersey,East
2,Medicare,68,Male,Missouri,South
3,Medicare,69,Male,Georgia,South
4,Individual and Family,46,Other,Maryland,East
5,Individual and Family,46,Female,California,West
6,Individual and Family,51,Female,California,West
7,Individual and Family,48,Male,Illinois,North
8,Medicare,70,Male,Missouri,South
9,Individual and Family,39,Male,New Jersey,East
10,Medicare,77,Female,Florida,South
11,Individual and Family,44,Female,Virginia,East
12,Medicare,65,Female,Texas,South
13,Medicare,65,Female,Illinois,North
14,Individual and Family,27,Male,Utah,West
15,Individual and Family,29,Male,Virginia,East
16,Individual and Family,51,Female,Delaware,East
17,Individual and Family,40,Female,Missouri,South
18,Individual and Family,47,Female,Georgia,South
19,Individual and Family,40,Female,Ohio,North
20,Individual and Family,40,Male,Nevada,West
21,Individual and Family,49,Male,Illinois,North
22,Individual and Family,35,Female,New Jersey,East
23,Individual and Family,41,Male,Kansas,North
24,Individual and Family,35,Male,Georgia,South
25,Individual and Family,36,Male,Texas,South
26,Medicare,68,Female,Utah,West
27,Individual and Family,42,Other,Arizona,West
28,Individual and Family,35,Female,Utah,West
29,Individual and Family,53,Female,Georgia,South
30,Individual and Family,31,Female,Delaware,East
31,Individual and Family,38,Female,Texas,South
32,Individual and Family,36,Female,Nevada,West
33,Individual and Family,54,Female,Utah,West
34,Medicare,69,Female,North Carolina,South
35,Medicare,65,Male,California,West
36,Medicare,76,Male,Illinois,North
37,Individual and Family,43,Female,Illinois,North
38,Individual and Family,49,Male,Ohio,North
39,Individual and Family,41,Male,North Carolina,South
40,Individual and Family,51,Male,Kansas,North
41,Individual and Family,35,Female,Kansas,North
42,Individual and Family,54,Male,Arizona,West
43,Individual and Family,63,Male,Indiana,North
44,Medicare,80,Male,Illinois,North
45,Individual and Family,36,Female,Kansas,North
46,Individual and Family,55,Female,Kansas,North
47,Individual and Family,56,Male,Ohio,North
48,Individual and Family,35,Female,Utah,West
49,Individual and Family,36,Female,Maryland,East
50,Individual and Family,37,Female,Texas,South
51,Medicare,80,Male,Missouri,South
52,Medicare,65,Male,Utah,West
53,Medicare,65,Female,Florida,South
54,Medicare,65,Other,Nevada,West
55,Individual and Family,40,Female,Georgia,South
56,Medicare,71,Male,Indiana,North
57,Individual and Family,56,Male,Maryland,East
58,Individual and Family,30,Male,Kansas,North
59,Individual and Family,50,Male,Utah,West
60,Individual and Family,38,Female,Illinois,North
61,Individual and Family,40,Male,Utah,West
62,Individual and Family,47,Female,Illinois,North
63,Medicare,74,Male,Ohio,North
64,Individual and Family,44,Male,Arizona,West
65,Individual and Family,42,Male,Maryland,East
66,Individual and Family,45,Female,Nevada,West
67,Individual and Family,43,Male,Virginia,East
68,Medicare,69,Female,North Carolina,South
69,Individual and Family,34,Female,Kansas,North
70,Medicare,72,Male,Georgia,South
71,Medicare,65,Female,Missouri,South
72,Individual and Family,34,Male,Indiana,North
73,Individual and Family,34,Female,Missouri,South
74,Medicare,74,Female,Florida,South
75,Medicare,80,Male,Maryland,East
76,Medicare,65,Female,Ohio,North
77,Medicare,78,Female,California,West
78,Individual and Family,45,Male,Maryland,East
79,Individual and Family,34,Female,Arizona,West
80,Individual and Family,46,Male,Missouri,South
81,Medicare,70,Female,Missouri,South
82,Individual and Family,25,Male,Delaware,East
83,Individual and Family,55,Male,Illinois,North
84,Individual and Family,58,Male,Illinois,North
85,Individual and Family,34,Female,California,West
86,Individual and Family,36,Male,California,West
87,Medicare,71,Male,New Jersey,East
88,Individual and Family,43,Male,Georgia,South
89,Medicare,65,Female,Indiana,North
90,Individual and Family,60,Male,Utah,West
91,Individual and Family,38,Male,Arizona,West
92,Medicare,80,Female,Arizona,West
93,Medicare,77,Female,Virginia,East
94,Individual and Family,33,Male,Arizona,West
95,Medicare,72,Female,Nevada,West
96,Individual and Family,58,Other,Maryland,East
97,Individual and Family,35,Male,Texas,South
98,Individual and Family,42,Male,Delaware,East
99,Individual and Family,40,Female,Ohio,North
100,Individual and Family,52,Female,North Carolina,South
101,Individual and Family,64,Male,New Jersey,East
102,Individual and Family,35,Female,Nevada,West
103,Individual and Family,35,Male,Nevada,West
104,Individual and Family,50,Female,Arizona,West
105,Medicare,75,Female,Missouri,South
106,Individual and Family,58,Female,Delaware,East
107,Individual and Family,46,Female,Florida,South
108,Medicare,74,Other,Utah,West
109,Individual and Family,46,Female,Kansas,North
110,Individual and Family,51,Female,Utah,West
111,Individual and Family,48,Female,Virginia,East
112,Individual and Family,45,Female,Texas,South
113,Medicare,77,Female,Utah,West
114,Medicare,67,Male,Texas,South
115,Individual and Family,54,Female,California,West
116,Medicare,65,Female,North Carolina,South
117,Medicare,66,Female,Arizona,West
118,Individual and Family,41,Other,Texas,South
119,Medicare,70,Female,Florida,South
120,Individual and Family,32,Female,North Carolina,South
121,Medicare,76,Male,Georgia,South
122,Medicare,65,Male,Delaware,East
123,Individual and Family,40,Female,Nevada,West
124,Individual and Family,53,Female,Missouri,South
125,Individual and Family,42,Male,North Carolina,South
126,Individual and Family,40,Female,California,West
127,Medicare,65,Male,Indiana,North
128,Medicare,80,Male,Maryland,East
129,Individual and Family,46,Female,Missouri,South
130,Individual and Family,62,Female,Indiana,North
131,Individual and Family,37,Female,Indiana,North
132,Individual and Family,42,Male,Delaware,East
133,Individual and Family,42,Female,New Jersey,East
134,Individual and Family,56,Female,Indiana,North
135,Medicare,71,Male,Virginia,East
136,Individual and Family,43,Other,Arizona,West
137,Individual and Family,46,Female,Georgia,South
138,Medicare,66,Male,Utah,West
139,Individual and Family,36,Female,Texas,South
140,Medicare,78,Female,California,West
141,Medicare,66,Female,Maryland,East
142,Individual and Family,30,Female,Indiana,North
